customer_id,application_date,branch_id,customer_group_id,age,gender,marital_status,education_level,employment_type,annual_income,monthly_expenses,loan_amount,loan_tenure_months,interest_rate,credit_score,existing_loans_count,credit_card_utilization,late_payment_count,bank_balance,savings_account_balance,transaction_frequency,avg_transaction_value,last_payment_delay_days,property_ownership,city_tier,has_insurance,loan_purpose,risk_segment,income_to_loan_ratio,debt_to_income_ratio,annual_income_duplicate,low_variance_flag,default_status
100001,2023-03-07,BR017,G00086,55.0,Male,Single,Graduate,Self-employed,101705.21,9257.53,150977.29,36,11.09,757.0,1,0.482,0,16651.76,31169.45,40.0,100.0,4.0,Family Owned,Tier 2,No,Personal,Low,0.6736,1.5871,101258.26,0,0
100002,2024-07-18,BR011,G01802,58.0,Male,Single,Postgraduate,Salaried,90000.0,5000.0,290615.77,48,11.08,652.0,0,0.157,3,6700.07,35292.21,32.0,224.03,9.0,Own,Tier 3,No,Personal,Medium,0.3097,1.4739,89503.62,0,0
100003,2024-04-22,BR027,G00535,43.0,Male,Single,School,Self-employed,90000.0,5000.0,206133.38,48,15.44,720.0,1,0.451,0,,36085.22,46.0,711.54,2.0,Rent,Tier 2,Yes,Business,Medium,0.4366,1.2393,88647.76,0,0
100004,2023-11-17,BR034,G01779,25.0,Female,Married,Postgraduate,Salaried,,6536.21,50000.0,36,6.5,717.0,1,0.028,0,5582.82,30150.65,36.0,100.0,1.0,Own,Tier 1,Yes,Education,Medium,1.8,1.0567,88836.33,0,0
100005,2023-11-13,BR014,G01412,58.0,Female,Single,Graduate,Self-employed,90000.0,5000.0,53668.95,12,12.77,717.0,0,0.012,0,,54498.37,38.0,100.0,3.0,Rent,Tier 3,Yes,Education,Low,1.6769,1.263,88659.9,0,0
100006,2024-09-18,BR039,G00507,28.0,Male,Single,Graduate,Salaried,233995.72,8935.77,499042.64,72,14.15,689.0,1,0.102,1,28207.33,54225.15,37.0,100.0,10.0,Own,Tier 2,No,Education,Low,0.4689,0.8137,237092.38,0,0
100007,2023-03-04,BR032,G01174,43.0,Male,Single,School,Salaried,90000.0,5000.0,59715.03,24,8.03,676.0,1,0.312,0,-787.96,868.43,24.0,540.46,4.0,Rent,Tier 1,Yes,Home,Medium,1.5072,0.9984,90204.96,0,0
100008,2024-05-24,BR009,G00092,36.0,Female,Married,School,,90000.0,5000.0,175868.88,72,12.64,689.0,0,0.602,0,15984.35,39422.28,34.0,567.54,3.0,Own,Tier 2,No,Home,Low,0.5117,0.9923,91048.16,0,0
100009,2023-05-28,BR047,G01755,34.0,Male,Married,Graduate,Unemployed,,10755.44,132214.18,60,11.61,,2,0.367,0,11972.63,33582.37,45.0,100.0,14.0,Family Owned,Tier 1,Yes,Business,Low,0.6807,1.7279,90366.45,0,1
100010,2023-03-10,BR003,G00760,47.0,Male,Divorced,Postgraduate,Self-employed,96372.66,5000.0,275906.0,12,12.48,727.0,0,0.148,0,10299.5,20147.17,20.0,100.0,0.0,Family Owned,Tier 2,Yes,Home,Low,0.3493,3.4855,94706.56,0,0
100011,2024-01-20,BR033,G00959,42.0,Male,Single,Graduate,Salaried,,5000.0,91052.48,60,11.14,669.0,1,0.158,0,5129.39,31334.97,47.0,854.5,2.0,Family Owned,Tier 2,No,Education,Low,1.4483,0.5931,130896.46,0,0
100012,2024-12-13,BR022,G00393,45.0,Female,Single,Graduate,Salaried,90000.0,5000.0,50000.0,24,7.97,696.0,2,0.123,2,,21799.58,57.0,1029.51,1.0,Own,Tier 3,Yes,Personal,Medium,1.8,0.9444,88410.6,0,0
100013,2024-06-21,BR033,G00913,30.0,Other,Married,Postgraduate,Salaried,131365.04,5000.0,132292.55,48,10.26,652.0,2,0.476,2,5314.87,39904.07,51.0,855.07,5.0,Family Owned,Tier 1,No,Business,,0.993,0.7085,129502.17,0,0
100014,2024-07-09,BR039,G00990,37.0,Male,Single,Graduate,Salaried,107800.36,5000.0,161165.01,36,13.12,771.0,1,0.418,1,8733.9,29981.58,16.0,1604.4,2.0,Own,Tier 2,No,Home,Low,0.6689,1.0549,108277.11,0,0
100015,2024-06-07,BR035,G00563,31.0,Female,Single,Postgraduate,Self-employed,90000.0,5000.0,50000.0,48,11.94,,1,0.22,1,12794.7,32471.04,30.0,102.39,14.0,Own,Tier 2,No,Home,Low,1.8,0.8056,89151.2,0,0
100016,2024-07-27,BR033,G02449,37.0,Female,Married,School,Salaried,90000.0,5000.0,50000.0,12,9.88,649.0,2,0.524,6,7695.98,19758.81,47.0,100.0,1.0,Rent,Tier 3,Yes,Education,Medium,1.8,1.2222,89870.33,0,0
100017,2024-01-10,BR043,G00700,38.0,Male,Married,School,Salaried,90000.0,5000.0,216354.24,48,12.63,656.0,1,0.086,1,542.85,12455.18,17.0,137.49,3.0,Own,Tier 1,Yes,Business,Medium,0.416,1.2677,90773.69,0,0
100018,2023-04-04,BR036,G00453,59.0,Female,Married,Graduate,Salaried,90000.0,5000.0,50000.0,72,11.7,731.0,1,0.203,1,6214.05,36543.74,23.0,288.69,1.0,Family Owned,Tier 1,Yes,Personal,Low,1.8,0.7593,88088.35,0,0
100019,2024-09-05,BR041,G01371,36.0,Male,Divorced,Postgraduate,Self-employed,106809.0,6612.97,50000.0,60,10.69,682.0,1,0.301,2,11655.2,25059.37,46.0,100.0,6.0,Family Owned,Tier 3,Yes,Business,Low,2.1362,0.8366,106049.74,0,0
100020,2023-11-25,BR021,G00798,21.0,Female,Single,Graduate,Salaried,131712.85,5000.0,50000.0,60,11.48,709.0,1,0.639,1,2519.35,13352.82,,100.0,2.0,,Tier 3,No,Education,Low,2.6343,0.5315,132005.66,0,0
100021,2024-01-01,BR011,G01135,54.0,Female,Single,School,,90000.0,5000.0,198343.88,72,12.43,,1,0.383,0,-1415.36,3506.86,42.0,313.53,6.0,,Tier 3,Yes,Business,Medium,0.4538,1.034,89272.72,0,0
